"","tweet_id","sentiment","author","content"
"252",1957020861,"neutral","BritishAtHeart1","I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only"
"256",1957021321,"surprise","FoOie","@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today"
"260",1957022799,"surprise","dan11ela","@FoxxFiles aw u can't let me in on the secret!"
"264",1957023739,"hate","Tin06","Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!"
"268",1957025428,"sadness","lungjen","Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
"272",1957027687,"neutral","lucasd","@koifusionpdx i was so close to the tacos...one spot too late"
"276",1957028895,"sadness","d0nnadean","I haven't seen Muffin in two whole days!"
"280",1957029899,"neutral","tokyojackson","@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home"
"284",1957030622,"hate","sharnanicole","@lanacaitlin  hahaha well its try its so ugly"
"288",1957032014,"neutral","Simranvfc","night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD]"
"292",1957032228,"sadness","tiffanylue","@xoshayzers i knoww  things won't be the samee &lt;/3"
"296",1957033219,"neutral","mstellacrap","ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her."
"300",1957033874,"hate","Lilixbabi3","I hate when my bf beats da dogs. But I guess that the only way to teach these pitts."
"304",1957034434,"neutral","dawnoftheprawn","Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips"
"308",1957035419,"neutral","twinkleval","@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?"
"312",1957037405,"neutral","cynthiaperez","@MyDailyRoutine yeahhh. &amp;dont judge my pillow"
"316",1957038470,"hate","No1PanicFan","@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!"
"320",1957038970,"worry","melissacalderon","I need to be held...  Gnite."
"324",1957039894,"sadness","TheNewBradie","omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D"
"328",1957040395,"sadness","joe_uberkawaii","im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much"
"332",1957041745,"sadness","ROBOKAWAII","Fuuudge. Movie store is closed"
"336",1957042008,"worry","kharise","Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue..."
"340",1957042579,"empty","rebekahlynne","I need to be sleeping.. But i'm not even tired.."
"344",1957043226,"sadness","lindseyrivera","Sad that Christian Lacroix had to file bankruptcy"
"348",1957044694,"worry","ABabyBlueEyes","@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!"
"352",1957045395,"sadness","DudeAsInCool","Have to go to the dreaded DMV tomorrow"
"356",1957046053,"neutral","alexandraduggan","@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?"
"360",1957047408,"neutral","kbeilz","@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi"
"364",1957047828,"worry","5Neezy","Lady across the way had a miscarriage, say a prayer"
"368",1957049167,"sadness","theangelicsin","Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes"
"372",1957050890,"sadness","queenbmakeup","@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!"
"376",1957052409,"worry","divya084","don't feel like working  I think I tweet this too often!"
"380",1957053338,"surprise","savindotme","@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho"
"384",1957055396,"neutral","girlyghost","good morning work this morning gutted lol nevermind"
"388",1957056041,"neutral","AmyJade","@Deedubau hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble"
"392",1957057586,"neutral","m_y16","love is like a war,,easy to begin, hard to end..fiuuhh..."
"396",1957058504,"happiness","neovile","@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!"
"400",1957059917,"sadness","MelissaWOOF","@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order."
"404",1957061527,"worry","morganis_21","my dog ran awayyy"
"408",1957062676,"worry","iamsarahkelley","does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp"
"412",1957063783,"hate","Craz_Monkay21","At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer."
"416",1957064566,"worry","Monica2112","@kimberly625 hmmm, I thought u were sleeping!! Too bad I can't see those videos until tomorrow night."
"420",1957065570,"relief","davidbarrett1","@AnthonyLucas @iainfunnell Yeah, physically moving too!  Apparently we'll be reporting directly to Mr. Hayward..."
"424",1957067386,"neutral","maneeraj","@avalonabsinthe what?! Come as you are!!! But erock just left  bah D:"
"428",1957068585,"neutral","20K_MILLIONAIRE","for the gays i only made 200 tonight"
"432",1957070484,"neutral","harempriestess","@dravenreborn I bet its cool down in SR, huh? It's not here. I haven't stopped sweating since noon when dad and I were packing"
"436",1957071331,"sadness","only1lucylocket","@SuzyDunkley sorry bout the cat,"
"440",1957072637,"love","destinyhope92","@ddlovato i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!"
"444",1957073201,"sadness","Katja112","what a bad day"
"448",1957074101,"surprise","Ms_MaryJane","omg i didnt tweet all that much today.... *sadness*"
"452",1957074977,"worry","thewebguyuk","Up and packing. Its the last day of youth camp"
"456",1957075268,"happiness","mrs_mcsupergirl","@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol"
"460",1957076048,"sadness","hakeem","went to the cd store to search for the cd. But"
"464",1957076577,"hate","benfulghum","on jacksonville beach walking in the cold Ass water   but have to work in the morning   ily &lt;('-')&gt;"
"468",1957077934,"neutral","MunjknMoe","@crunchmonkey78 well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it"
"472",1957079355,"fun","drugunter","i should be finished.... but i'm not.  color drawing, here i come."
"476",1957079568,"sadness","moniquemiranda","misses my baby."
"480",1957080521,"neutral","KiraTalise","@mousebudden I'ma need you to follow me real quick cause I can't DM you"
"484",1957081795,"worry","katcal","@damohopo @StephanieEllen If I told you how often I wash my hair you would never speak to me again"
"488",1957082538,"hate","sin__","@abguerraartist  I am not a pussy! damnit!  [sending you an e-mail right now btw]"
"492",1957083084,"love","synerje","The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now"
"496",1957083786,"boredom","munkeysmomma","is really, really bored... I guess I will go to bed"
"500",1957084446,"sadness","megan901","@nickkk_ that sucks!"
"504",1957084935,"neutral","saurabh","@BusyGod PGPM student from where? I myself was a PGPM student about 4 years back. I wish I could stay one"
"508",1957085406,"neutral","chaitanyak","back to work.. with no distractions.."
"512",1957086444,"worry","steveapple","Looks like it's going to be too nice to work today, how annoying as I have no choice"
"516",1957087780,"worry","imma_winner_bby","@pb_and_jay hi!  Fuck your job!"
"520",1957088224,"sadness","shen_nanigans","@Ravels sniff sniff  take care ravels! Hopefully we'll be chatting again soon. In the mean time, I'll HELLA miss you."
"524",1957089208,"sadness","Dannnielleuhh","I don't want her to leave.."
"528",1957089935,"anger","umi78","Working   But it's Fridaaaayyyyy"
"532",1957090493,"surprise","FeistyRedheadHB","Got home from work @ 9:45 and JUST finished cleaning. Now I need to eat dinner and don't know what I want!!  Ugh...oh well. Might not eat."
"536",1957091147,"neutral","lilmissmelz84","seriously bored without anyone to talk to... but not tired enough for sleep"
"540",1957091954,"neutral","hommieJ","where u at?"
"544",1957093069,"happiness","StoneFoxapparel","My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes."
"548",1957093471,"worry","linercare","Know what would be great? For my shoulder to stop hurting so I can sleep normal again.  I just want/need a few solid hours of good sleep."
"552",1957094323,"sadness","VdChiongbian","Already misses @CMontecillo"
"556",1957095604,"neutral","Spigrrl","@eCheers Random has an a"
"560",1957097210,"worry","shyninjahinata","@laurelexmachina awww I wish I could have been there  I'm stuck here about to jab out my eyes with knitting needles"
"564",1957098732,"worry","ThatWhisperKiss","finished sewing for the night, uploading pictures from slidebar and beach. i cant believe i am having difficulties with twitter!"
"568",1957099375,"worry","xntrek","#beer #friday #melbourne #cbd #mtub #mini #cmon Thirsty and lonely ... you buggers are making me feel like a scotty no mates"
"572",1957099758,"worry","JayhawkSteph07","I'm bummed that I can't wear my sweet Nike kicks to work."
"576",1957100610,"worry","soumyatilak","@rachelasha I even saw the news feeds of the archie website. But can't believe he'd choose veronica. I'm disappointed"
"580",1957102054,"sadness","oceane23","Woke Up,I Wanna Stay In My bed"
"584",1957102562,"boredom","Quastbabynumbr5","So deep its priecing my soul"
"588",1957103831,"sadness","Nicolee09x","@ddlovato Caan't Iht Be Earlier? ICant Wait That Long.  Ahar. (:"
"592",1957104581,"neutral","sosleazy","I don't think I will be able to get out of bed tomorrow morning  we will seeeee!"
"596",1957104948,"sadness","FMillan","@prncsztalia why do you hate me!?"
"600",1957106132,"worry","mandalynsupra","@prime8507 PC I agree...  We have a problem. We must stop spending and only work!!!"
"604",1957106916,"sadness","jessywuv","So exhausted..can't sleep. I don't like these nights"
"608",1957108151,"sadness","Super_Stevie","@NothinButSin sorry to hear that."
"612",1957109983,"worry","Kurty4lyf","Omg going to die of swine flu when I go to Melbourne"
"616",1957111072,"sadness","awesomeness31","finished a whole box of ice cream"
"620",1957111643,"love","georginaluxford","Photo: martwo: OMG i love you!!!! i accadentally deleted this photo  yay hes SO beautiful http://tumblr.com/xvd1wankt"
"624",1957112696,"relief","Zensunni","@charlieboy808 thanks for the rt and sorry about your new place with the domestics"
"628",1957113207,"neutral","dig4knowledge","Baby was not herself after recieving vaccines"
"632",1957113687,"relief","VarianDavid","@kaseypoteet LOL yeah yeah you big perv ;) Was hoping to see you next week but scrapped plans"
"636",1957114604,"hate","Fiibs","back at Vienna (  ), sooo tired, luggage lost, Manchester 'd been great - very good outcome from Seminar at MBS &amp; great people around ..."
"640",1957115198,"neutral","intanzie","watching The Biggest Loser on Hallmark. Never fails to make me cry  nyeh."
"644",1957115997,"worry","msi_sux","I was a very naughty girl tonight. dissappointed with myself"
"648",1957116748,"surprise","Caibear","Just saw a fox!  as i was getting on the freeway... I hope it goes home"
"652",1957117458,"love","Bill_Hudson","good time Rocking out @ open mic, thanks 4 all the love n support. Now working on Business plan presentation. No CG again 2nite"
"656",1957118207,"neutral","vliemena","@duciaestherine ohh ic ic haha, iyaa my summer is filled with ONE Course that lasts for the whole summer"
"660",1957119180,"neutral","mallycakes","@Joshuah_Pearson"
"664",1957120549,"sadness","NykkiMassengill","Hates having to sleep alone"
"668",1957120981,"sadness","womanschitchat","I loved johnny carson now I'm going to hate seeing jay leno go"
"672",1957121970,"sadness","msulatbuku","@razitul ya. i was suffering the whole day yesterday. met dentist and feel a bit better. i still look like rocky balboa though"
"676",1957122777,"worry","crucifire","@Harishk: @krist0ph3r @saurabh sorry guys i have to drop out of the trip... some personal commitments.."
"680",1957123350,"relief","Thamar","@nawid nope  het is LOST&amp;found he ;-)"
"684",1957124014,"worry","MINGA_REPREZENT","ummm sooo yeh....its really hard to concentrate rite now wen i have this weird #lupus feeling goin thro my body"
"688",1957125420,"neutral","slynnerd","Loving lil ken and absolutely dreading saying goodbye in less than a week"
"692",1957125863,"neutral","PeKii97","HII!! Thatsï¿½meE!! I woke up and I am goinG to SchooL... Why me??"
"696",1957126889,"neutral","gecalovesyou","asks for karma points please.  http://plurk.com/p/wxnt9"
"700",1957128473,"sadness","milyssa","um... so I don't think my text msgs have a &quot;subject line&quot; ... I fail"
"704",1957129392,"worry","PuppyZach","@goddessfleur youre so far away, I don't know what to do...."
"708",1957130303,"neutral","uhoh_lindsey","@Johnny_Exp not where i live."
"712",1957131626,"sadness","abideinlove","@AmandaMallard i'm not at chaseton's either  please don't die, my heart will be really sad"
"716",1957132373,"worry","k8turpin","@aannniieee uuuugh  i hate everything"
"720",1957132732,"neutral","impapibitch","@sha_da_asshole ï¿½ cant im not @ my sister house no ï¿½-net tonite"
"724",1957133601,"worry","PamiiUngco","@alyssainescruz aww. me too  annoying!!! :|"
"728",1957134278,"fun","tractorqueen","My BFF rocking Hotel California now. No @NKOTB songs!  done stay the same. What's next? Hmmm.. Careless whisper!"
"732",1957134969,"worry","RebelAngel","I think im being ignored...by my best friend, jake....a) i hate being ignored. b) we all know how things go with him"
"736",1957136360,"sadness","cellguru","Ok. Time to nodd off its gonna be a long day tomorrow. Saying goodbye to my car for good"
"740",1957136998,"enthusiasm","Dutchie_Lizz","Counting the minutes when my dad's g-friend is leaving"
"744",1957137208,"worry","iSasha","@skyduke478 that makes me sad for you"
"748",1957139587,"sadness","elizbethunny","its funny. i'm kinda sad on my last day"
"752",1957140078,"worry","hannah_bananah2","@thedailysurvey Why do we love those that we cannot have?"
"756",1957140584,"worry","frenchbabel","I want a new phone  I've seen too much cellphone commercials ("
"760",1957141723,"neutral","nico80013","@soonseeofpred becuz you braggin"
"764",1957142715,"hate","whiterr_x","Taking back the HORRIBLE shoes my mum made me get.. urgggh. They are some nasty footwear! Problem is, I can't find any other shoes!"
"768",1957143446,"sadness","gayish","wow I feel like ish  and I really feel bad because those ignorent aholes wont overturn prop 8"
"772",1957144247,"neutral","FF5Freak910","dont know why so tired today  bye, time for beddy"
"776",1957145483,"worry","ChenHelen","friends from Traveller's Tales held a farewell party for me but I kinda disappointed them that I would still be here until Sep. My fault."
"780",1957145817,"hate","Jessicahhhh","gonna get off to try and catch some Z's, no more high school after tomorrow! which really sucks  i wish i didn't have to grow up!"
"784",1957146363,"sadness","cutebabe016","I was too sleepy earlier and i didnt get to see matt"
"788",1957147025,"neutral","FireBurn","@DellOutletUK But now it's gone"
"792",1957147422,"sadness","ryandc","Downloadfestival's lineup isn't as good as i thought it was. There are some other awesome bands doing the festivals, but missing DL"
"796",1957147665,"love","Melissataylor15","@daveockun I hate you , Fleetwood is my favorite band...I'm so jealous  ok I still love you haha"
"800",1957148550,"empty","MegDebs","says morning everyone, off to work in 10 min's  http://plurk.com/p/wxom8"
"804",1957149170,"happiness","amandalaur","@Sashairene hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that"
"808",1957149886,"worry","Chris_Clayford","forgot his access card in the carï¿½too lazy to fetch it"
"812",1957150462,"sadness","chelsea_playboy","oh no my tweetdeck is malfunctioning :O il have web will its fixd"
"816",1957151356,"neutral","cabbruscato","Work at 5:45am ="
"820",1957151886,"fun","xdetergentx","creeped it up at the ice cream social! good times. lars and the real girl, such a sad movie"
"824",1957152849,"worry","J_Dizzly","Ahhhhh! My &quot;Let The Right One In&quot; DVD broke"
"828",1957153898,"worry","MuGzyMcFLy","ohh shit i just realized she still not talking to me  it b like dat some times.."
"832",1957154220,"worry","daveingland","@soverpeck dude, i didn't know it was a personal experience. sorry something like that went down"
"836",1957154821,"hate","marconipoveda","i just murdered two fucking mouses!!! now i cant sleep"
"840",1957155968,"worry","skyeeeee","all my pancakes always end up soggy."
"844",1957157433,"surprise","air_nautique","Wow. That hurt way worse than i thought it would."
"848",1957158466,"worry","Locococomoco","@JustDes As it is now, my body has already developed a mind of it's own but that mind refuses to co-operate with set schedules"
"852",1957159693,"worry","sshannonlouisee","so bored, i have a headache."
"856",1957160428,"sadness","Gwakkle","@lozzyx NOICE. I realised that after exams I have 2 more weeks  Forgot about the whole 2 weeks of Unit 4 in term 2 thing :/"
"860",1957160829,"neutral","flynnister","its only 0.2! Just give me my 3 points!"
"864",1957161380,"love","MissAleks","I wish I was going to we love sounds"
"868",1957162853,"worry","bexofcov","On my way to nottingham..I so don't want to be going"
"872",1957163152,"worry","samanthaalyson","I need to wake up earlier so I'm actually tired enough to fall asleep"
"876",1957164444,"surprise","sami_bby","@Jordalynn omg you've never seen 'the Ring' its a creppy ass movie"
"880",1957165693,"love","shagreenxo","@AnnetteStatus I luv urs! admitting niley with a kiss (: but then they change their minds  haha &amp; demi/sterling (: not jemi but still cute"
"884",1957166454,"surprise","TeamEdward6","Josh just called me a big bucket of ugly  wish me luck for my audition tweets!"
"888",1957167375,"neutral","beverlynoelle","@scumm_boy I'm sorry  I'm thinking about you and hope the week gets better!"
"892",1957168160,"worry","thep","Eh.. it's cold"
"896",1957168966,"sadness","michellequek","Wondering how come mcdonalds take so long to deliver my food."
"900",1957169213,"sadness","MEG_B_johnson","Sooo.....I'm kind of sick n tired of the bs that guys dish out  !!!!!!!!"
"904",1957170232,"hate","deenahdeedoodah","WTF facebook just cleared out my whole survey and i was on the last q, this night gets better and better  what else is next?"
"908",1957171202,"worry","eckodabrat","@Deziree_Divine take my advice lookin through the phone cost me my relationship"
"912",1957172893,"neutral","sidestreets","@summer_eyes I wish I knew!  The curse of Tumblr."
"916",1957174053,"worry","chickman07","@WTF_JayR oh, i know how budgeting is."
"920",1957174335,"surprise","MandyKitKat","OUCH! my earphones just shocked me"
"924",1957175385,"sadness","opalsdownunder","farewelling an employee tonight..."
"928",1957175992,"sadness","EmptiMind","@heavenlyriot Girls are confusing."
"932",1957176603,"neutral","Maya_L","@angelazodiak Aww maybe i traumatized her."
"936",1957178636,"worry","CandleNtheDark","why do i think i have to take medicine cuz i was laughing to hard?. my head should not be in this much pain. i thought laughter was gud"
"940",1957179532,"neutral","Robi27","@n3rin3 Ur pic is gone"
"944",1957181030,"love","helefra","I can't wait till it's Sunday, a new episode of Supernatural but then there are only 6 episodes left now"
"948",1957181945,"neutral","andybutterworth","@djcoombs not at my workplace.   but a short-sleeved shirt is absolutely necessary today!"
"952",1957182382,"sadness","happy_inside","i miss rich"
"956",1957183110,"worry","Nicolaarthur","I want to go back to bed but have a child to look after!  I may sleep all of sunday, my enevitable hangover may require it!"
"960",1957183897,"sadness","kanahina","home from ice cream tweet-up (my very first tweet-up!) No pics because my camera battery died last night and i forgot to charge it"
"964",1957186277,"worry","Joannina","we can get a temporary tattoo. I would be totally sad if he died."
"968",1957188146,"sadness","just_reva","@narain Dun wanna travel all the way there for lunch now. But yeah i have been there. Nice place. Missing Shan-e-Punjab though..."
"972",1957188904,"surprise","liangtfm","Bah I don't think @bing's FB fan page will get to 7500"
"976",1957189540,"worry","CassieTipps","bruise on knee will make it hard to skate tomorrow."
"980",1957190114,"worry","helloglo","NO FREE WIFI!?!? My vacay is ruined!!!!"
"984",1957190983,"surprise","n0tin","It's fucking cold here north now! It was like 77 DF yesterday where I was, here it's 37,4"
"988",1957191516,"sadness","Quastbabynumbr5","Sorry was that mean"
"992",1957192084,"worry","Nightmarelynn","@ZachMoore1 I thought I was going to see a pic of your clean car"
"996",1957192464,"worry","ash1225","@ddlovato Yayyyyyyyyyyy!!!!! but thats sp far away!"
"1000",1957193010,"neutral","UggGirlie","How Come I Can Never Sleep Past?? Not Good"
"1004",1957194329,"happiness","tineymarie","@cha_rade oh no the economy gotcha?  sorry but so happy that you got another one in LA!  Enjoy SoCal! Ahahaay! LOL"
"1008",1957194802,"sadness","CiaranActon","not well"
"1012",1957195455,"happiness","seniahh","so carlie came over and she fell asleep on me"
"1016",1957195949,"sadness","StephiieG","@shaundiviney i didnt get the msg!! :'( but i bought princess"
"1020",1957196764,"worry","gailey1305","first puppy gone 2 new home."
"1024",1957197786,"sadness","LaurenKayW","@Madush oh my... now im offended.  ha"
"1028",1957198551,"worry","urtherevolution","&quot;my name is Tony!!!!!! ...not hey!!!!&quot; -  poor tony"
"1032",1957198981,"worry","gudnewzcixx","@YEPNAYDEA I don't have ur #...anymore, I think!!"
"1036",1957199558,"neutral","YOUNG_KC","@CheetahmamiBia oooo ok   why  havent you accepted my friends request"
"1040",1957201670,"worry","LatinAngel9393","I miss the old healthy me and I am loosing faith that I ever will be again"
"1044",1957202990,"worry","Mattdennis","Rawr and whatnot. I am having a godawful drawing night tonight... even less progress has been made than I expected."
"1048",1957203878,"sadness","singingchef85","now aches &amp; chills have joined the party. Why couldn't the cold just go away? It had to get worse?"
"1052",1957204629,"worry","HiImMimi","Why am I still upppp????? LOL.  Work in less than 5 hours."
"1056",1957205757,"empty","jemariie","@Tinkabellastar no. my school will start on June1.  two days to go. i still don't want. :l"
"1060",1957206274,"surprise","ziggywas","Summer Glau to appear in Dollhouse next year http://tinyurl.com/mnrezc... I still can't believe they won't renew TSCC"
"1064",1957206634,"love","frekklz","@craftjoshua I CAN'T!!! My heart aches for her children  I wanna adopt alexis"
"1068",1957207318,"sadness","pamvila","@HazelAngeli @V0TR0N  too bad Vo got me sick I think  &amp; I don't even have meds to feel like you."
"1072",1957207790,"worry","antandbecks","Just spoke to Keith Urban's record company, we can't get him on the show till we're back from holidays  sorry Jack, we're trying mate!"
"1076",1957208989,"worry","Col_RFTL","@HoptonHouseBnB now theres a thought .... do you still get goldfish at the fair ?? not seen them for years"
"1080",1957209459,"worry","theotherkid","Oops, Corey saw my last tweet. I guess I'M not getting laid tomorrow."
"1084",1957211192,"happiness","littlerabbit","up early again  loads to do- but the suns out, hurrah!"
"1088",1957213189,"happiness","SoulAfrodisiac","@BevJack Babes it was sooo much fun!!  Thank you so much for making that happen!  Had fun with the ladies too!  Time went to fast."
"1092",1957214477,"worry","joey234","The Aila Cyclone left my house in Calcutta with a broken sunshade, balcony and a huge branch of tree thru our bathroom window....."
"1096",1957215551,"neutral","jonnotay","@ndrew10 I know!!!! He didn't ask me"
"1100",1957216446,"sadness","AlenaSerrano","@JasmineCJones  I was just thinking the same thing! I love our morning chats! We totally need 2 live 2gether full time. Lol"
